"year","company_name","service","adverse_decisions","grievance"
2021,"CaremarkPCS Health L.L.C.","pt ot st services incl inpat rehab ",NA,NA
2021,"CaremarkPCS Health L.L.C.","skilled nurse facility sub acute nursing home",NA,NA
2021,"CaremarkPCS Health L.L.C.","durable medical equipment services",NA,NA
2021,"CaremarkPCS Health L.L.C.","dental",NA,NA
2021,"CaremarkPCS Health L.L.C.","home health services",NA,NA
2021,"CaremarkPCS Health L.L.C.","obesity ivf podiatry hearing and vision",NA,NA
2021,"CaremarkPCS Health L.L.C.",NA,NA,NA
2021,"CaremarkPCS Health L.L.C.",NA,NA,NA
2021,"CaremarkPCS Health L.L.C.",NA,NA,NA
2021,"CaremarkPCS Health L.L.C.",NA,NA,NA
2021,"CIGNA Dental Health of Maryland, Inc.","inpatient hospital services",0,NA
2021,"CIGNA Dental Health of Maryland, Inc.","emergency room services",0,NA
2021,"CIGNA Dental Health of Maryland, Inc.","mental health services",0,NA
2021,"CIGNA Dental Health of Maryland, Inc.","physician services",0,NA
2021,"CIGNA Dental Health of Maryland, Inc.","laboratory radiology services",0,NA
2021,"CIGNA Dental Health of Maryland, Inc.","pharmacy services",0,NA
2021,"CIGNA Dental Health of Maryland, Inc.","pt ot st services incl inpat rehab ",0,NA
2021,"CIGNA Dental Health of Maryland, Inc.","skilled nurse facility sub acute nursing home",0,NA
2021,"CIGNA Dental Health of Maryland, Inc.","durable medical equipment services",0,NA
2021,"CIGNA Dental Health of Maryland, Inc.","dental",47,NA
2021,"CIGNA Dental Health of Maryland, Inc.","home health services",0,NA
2021,"CIGNA Dental Health of Maryland, Inc.","obesity ivf podiatry hearing and vision",0,NA
2021,"CIGNA Dental Health of Maryland, Inc.",NA,NA,NA
2021,"CIGNA Dental Health of Maryland, Inc.",NA,NA,NA
2021,"CIGNA Dental Health of Maryland, Inc.",NA,NA,NA
2021,"CIGNA Dental Health of Maryland, Inc.",NA,NA,NA
2021,"CIGNA Health and Life Insurance Company","inpatient hospital services",284,15
2021,"CIGNA Health and Life Insurance Company","emergency room services",0,0
2021,"CIGNA Health and Life Insurance Company","mental health services",65,18
2021,"CIGNA Health and Life Insurance Company","physician services",737,65
